                                               List of indexes
 Schema |                        Name                         | Type  |      Table       | Primary? | Unique? 
--------+-----------------------------------------------------+-------+------------------+----------+---------
 public | actor_pkey                                          | btree | actor            | "YES"    | "YES" 
 public | address_pkey                                        | btree | address          | "YES"    | "YES" 
 public | category_pkey                                       | btree | category         | "YES"    | "YES" 
 public | city_pkey                                           | btree | city             | "YES"    | "YES" 
 public | country_pkey                                        | btree | country          | "YES"    | "YES" 
 public | customer_pkey                                       | btree | customer         | "YES"    | "YES" 
 public | film_actor_pkey                                     | btree | film_actor       | "YES"    | "YES" 
 public | film_category_pkey                                  | btree | film_category    | "YES"    | "YES" 
 public | film_fulltext_idx                                   | gist  | film             | "NO"     | "NO" 
 public | film_pkey                                           | btree | film             | "YES"    | "YES" 
 public | idx_actor_last_name                                 | btree | actor            | "NO"     | "NO" 
 public | idx_fk_address_id                                   | btree | customer         | "NO"     | "NO" 
 public | idx_fk_city_id                                      | btree | address          | "NO"     | "NO" 
 public | idx_fk_country_id                                   | btree | city             | "NO"     | "NO" 
 public | idx_fk_customer_id                                  | btree | payment          | "NO"     | "NO" 
 public | idx_fk_film_id                                      | btree | film_actor       | "NO"     | "NO" 
 public | idx_fk_inventory_id                                 | btree | rental           | "NO"     | "NO" 
 public | idx_fk_language_id                                  | btree | film             | "NO"     | "NO" 
 public | idx_fk_original_language_id                         | btree | film             | "NO"     | "NO" 
 public | idx_fk_payment_p2007_01_customer_id                 | btree | payment_p2007_01 | "NO"     | "NO" 
 public | idx_fk_payment_p2007_01_staff_id                    | btree | payment_p2007_01 | "NO"     | "NO" 
 public | idx_fk_payment_p2007_02_customer_id                 | btree | payment_p2007_02 | "NO"     | "NO" 
 public | idx_fk_payment_p2007_02_staff_id                    | btree | payment_p2007_02 | "NO"     | "NO" 
 public | idx_fk_payment_p2007_03_customer_id                 | btree | payment_p2007_03 | "NO"     | "NO" 
 public | idx_fk_payment_p2007_03_staff_id                    | btree | payment_p2007_03 | "NO"     | "NO" 
 public | idx_fk_payment_p2007_04_customer_id                 | btree | payment_p2007_04 | "NO"     | "NO" 
 public | idx_fk_payment_p2007_04_staff_id                    | btree | payment_p2007_04 | "NO"     | "NO" 
 public | idx_fk_payment_p2007_05_customer_id                 | btree | payment_p2007_05 | "NO"     | "NO" 
 public | idx_fk_payment_p2007_05_staff_id                    | btree | payment_p2007_05 | "NO"     | "NO" 
 public | idx_fk_payment_p2007_06_customer_id                 | btree | payment_p2007_06 | "NO"     | "NO" 
 public | idx_fk_payment_p2007_06_staff_id                    | btree | payment_p2007_06 | "NO"     | "NO" 
 public | idx_fk_staff_id                                     | btree | payment          | "NO"     | "NO" 
 public | idx_fk_store_id                                     | btree | customer         | "NO"     | "NO" 
 public | idx_last_name                                       | btree | customer         | "NO"     | "NO" 
 public | idx_store_id_film_id                                | btree | inventory        | "NO"     | "NO" 
 public | idx_title                                           | btree | film             | "NO"     | "NO" 
 public | idx_unq_manager_staff_id                            | btree | store            | "YES"    | "NO" 
 public | idx_unq_rental_rental_date_inventory_id_customer_id | btree | rental           | "YES"    | "NO" 
 public | inventory_pkey                                      | btree | inventory        | "YES"    | "YES" 
 public | language_pkey                                       | btree | language         | "YES"    | "YES" 
 public | payment_pkey                                        | btree | payment          | "YES"    | "YES" 
 public | rental_pkey                                         | btree | rental           | "YES"    | "YES" 
 public | staff_pkey                                          | btree | staff            | "YES"    | "YES" 
 public | store_pkey                                          | btree | store            | "YES"    | "YES" 
(44 rows)
